index,context,question,image,audio,code,A,B,C,D,correct,hint,set_question_id,tags
120,,Ví dụ nào là hệ thống nguồn sinh dữ liệu?,,,,Cơ sở dữ liệu giao dịch ngân hàng,Công cụ trực quan hóa như Tableau,Mô hình học máy,Báo cáo phân tích,A,,,
121,,Yếu tố nào cần xem xét khi xác định nguồn sinh dữ liệu?,,,,Tính ổn định của cấu trúc dữ liệu,Màu sắc giao diện hệ thống,Loại phần mềm trực quan hóa,Kích thước màn hình người dùng,A,,,
122,,Hệ thống CRM tạo ra dữ liệu về gì?,,,,Hành vi và lịch sử tương tác khách hàng,Mô hình dự đoán học máy,Báo cáo trực quan hóa,Dữ liệu hình ảnh và video,A,,,
123,,Tính chất nào của hệ thống nguồn ảnh hưởng đến pipeline dữ liệu?,,,,Tần suất và tốc độ cập nhật dữ liệu,Màu sắc giao diện hệ thống,Loại công cụ phân tích,Kích thước tệp báo cáo,A,,,
124,,Dữ liệu từ API của IMF hoặc World Bank thuộc loại nào?,,,,"Dữ liệu vĩ mô về kinh tế, xã hội",Dữ liệu hình ảnh và video,Dữ liệu thời gian thực từ IoT,Dữ liệu phân tích thống kê,A,,,
125,,Tại sao xác định nguồn sinh dữ liệu là nền móng của kỹ thuật dữ liệu?,,,,Đảm bảo chất lượng đầu vào cho phân tích,Tạo ra mô hình học máy,Trực quan hóa dữ liệu,Thiết kế giao diện hệ thống,A,,,
126,,Hệ thống nguồn thường được thiết kế với mục đích gì?,,,,Phân tích dữ liệu,Ghi nhận dữ liệu ban đầu,Xây dựng mô hình học máy,Trực quan hóa báo cáo,B,,,
127,,Cơ sở dữ liệu quan hệ phù hợp để lưu trữ dữ liệu nào?,,,,Dữ liệu có cấu trúc dạng bảng,Dữ liệu phi cấu trúc như video,Dữ liệu thời gian thực từ IoT,Dữ liệu phân tích thống kê,A,,,
128,,Kho dữ liệu (data warehouse) có mục đích gì?,,,,Lưu trữ dữ liệu thô chưa qua xử lý,Hỗ trợ truy vấn và phân tích hiệu suất cao,Xây dựng mô hình học máy,Trực quan hóa dữ liệu,B,,,
129,,Hồ dữ liệu (data lake) khác với kho dữ liệu ở điểm nào?,,,,Lưu trữ dữ liệu thô ở nhiều định dạng,Chỉ lưu dữ liệu có cấu trúc,Không hỗ trợ phân tích,Không thể mở rộng,A,,,
130,,Data mart là gì?,,,,Hệ thống lưu trữ dữ liệu thô,Phần nhỏ của kho dữ liệu phục vụ bộ phận cụ thể,Công cụ trực quan hóa dữ liệu,Mô hình học máy,B,,,
131,,Yếu tố nào cần xem xét khi thiết kế hệ thống lưu trữ?,,,,Khả năng mở rộng và độ an toàn dữ liệu,Màu sắc giao diện hệ thống,Loại công cụ phân tích thống kê,Kích thước màn hình người dùng,A,,,
132,,Cơ sở dữ liệu NoSQL phù hợp với dữ liệu nào?,,,,Dữ liệu bán cấu trúc và phi cấu trúc,Dữ liệu có cấu trúc dạng bảng,Dữ liệu phân tích thống kê,Dữ liệu chỉ dùng cho trực quan hóa,A,,,
133,,Nền tảng nào là ví dụ của kho dữ liệu?,,,,Amazon Redshift và Google BigQuery,Tableau và Power BI,MongoDB và Cassandra,Apache Kafka,A,,,
134,,Hồ dữ liệu (data lake) phù hợp với bài toán nào?,,,,Phân tích thống kê truyền thống,Học máy và khai phá dữ liệu,Trực quan hóa báo cáo,Xây dựng mô hình dự đoán,B,,,
135,,Giai đoạn thu nạp dữ liệu có vai trò gì?,,,,Phân tích xu hướng dữ liệu,Chuyển dữ liệu từ nguồn vào hệ thống lưu trữ,Xây dựng mô hình học máy,Trực quan hóa dữ liệu,B,,,
136,,Phương pháp batch trong thu nạp dữ liệu là gì?,,,,Xử lý dữ liệu theo thời gian thực,Xử lý dữ liệu theo khối lớn định kỳ,Phân tích thống kê dữ liệu,Trích xuất đặc trưng học máy,B,,,
137,,Phương pháp streaming phù hợp với ứng dụng nào?,,,,Báo cáo bán hàng hàng tuần,Phát hiện gian lận giao dịch thời gian thực,Phân tích thống kê truyền thống,Trực quan hóa dữ liệu,B,,,
138,,Phương thức truyền tải push trong thu nạp dữ liệu là gì?,,,,Hệ thống lưu trữ truy vấn nguồn định kỳ,Hệ thống nguồn chủ động gửi dữ liệu,Phân tích dữ liệu thời gian thực,Xây dựng mô hình học máy,B,,,
139,,Mô hình ETL khác với ELT ở điểm nào?,,,,ETL biến đổi dữ liệu trước khi lưu trữ,ETL chỉ dùng cho dữ liệu thời gian thực,ETL không hỗ trợ kho dữ liệu,ETL không cần trích xuất dữ liệu,,,,
140,,Vai trò chính của kỹ sư dữ liệu là gì?,,,,Xây dựng mô hình học máy,Thiết kế và duy trì hạ tầng dữ liệu,Phân tích xu hướng dữ liệu,Trực quan hóa báo cáo,B,,,
141,,Kỹ sư dữ liệu cần kỹ năng nào trong nhóm kỹ thuật nền tảng?,,,,Thành thạo SQL và Python,Thiết kế giao diện người dùng,Phân tích thống kê mô tả,Tối ưu hóa mô hình học máy,A,,,
142,,Công cụ nào được kỹ sư dữ liệu sử dụng để xây dựng pipeline?,,,,Apache Spark và Airflow,Tableau và Power BI,TensorFlow và Keras,Excel và Google Sheets,A,,,
143,,Kỹ năng nào quan trọng với kỹ sư dữ liệu trong kiến trúc hệ thống?,,,,Thiết kế hệ thống ETL/ELT có độ bền cao,Phân tích A/B testing,Xây dựng mô hình deep learning,Trình bày báo cáo,A,,,
144,,Kỹ sư dữ liệu làm việc với nền tảng nào để lưu trữ dữ liệu?,,,,Amazon Redshift và Snowflake,Matplotlib và Seaborn,Scikit-learn và PyTorch,Google Analytics và Mixpanel,A,,,
145,,Data Platform Engineer chịu trách nhiệm gì?,,,,Xây dựng và quản lý hạ tầng dữ liệu tổng thể,Phân tích hiệu quả chiến dịch marketing,Xây dựng mô hình học máy,Trực quan hóa dữ liệu,A,,,
146,,Streaming Data Engineer tập trung vào lĩnh vực nào?,,,,Xử lý dữ liệu thời gian thực,Phân tích thống kê mô tả,Thiết kế giao diện người dùng,Tối ưu hóa mô hình học máy,B,,,
147,,Nhiệm vụ chính của ETL/ELT Developer là gì?,,,,Phân tích hành vi người dùng,Phát triển pipeline dữ liệu từ nguồn đến kho lưu trữ,Xây dựng mô hình deep learning,Trình bày báo cáo trực quan,B,,,
148,,DataOps Engineer có vai trò gì?,,,,Tự động hóa và kiểm thử pipeline dữ liệu,Phân tích chuỗi thời gian,Thiết kế mô hình học máy,Trực quan hóa dữ liệu,A,,,
149,,Data Reliability Engineer đảm bảo điều gì?,,,,Độ tin cậy và chất lượng dữ liệu,Phân tích hiệu quả quảng cáo,Xây dựng mô hình dự đoán,Thiết kế giao diện dashboard,A,,,
150,,Nhà phân tích dữ liệu tập trung vào nhiệm vụ gì?,,,,Xây dựng pipeline dữ liệu,Khám phá xu hướng và diễn giải dữ liệu,Triển khai mô hình học máy,Thiết kế hạ tầng dữ liệu,B,,,
151,,Kỹ năng nào cần thiết cho nhà phân tích dữ liệu?,,,,Thành thạo SQL và trực quan hóa dữ liệu,Thiết kế hệ thống ETL/ELT,Xây dựng mô hình deep learning,Quản lý hạ tầng đám mây,A,,,
152,,Nhà phân tích dữ liệu sử dụng công cụ nào để trực quan hóa?,,,,Tableau và Power BI,Apache Spark và Kafka,TensorFlow và Keras,Airflow và DBT,A,,,
153,,Business Data Analyst có vai trò gì?,,,,"Hỗ trợ các phòng ban nghiệp vụ như tài chính, marketing",Xây dựng pipeline dữ liệu,Triển khai mô hình học máy,Thiết kế hạ tầng dữ liệu,A,,,
154,,Product Analyst phân tích dữ liệu gì?,,,,Hành vi người dùng trên nền tảng số,Dữ liệu giao dịch ngân hàng,Dữ liệu thời gian thực từ IoT,Dữ liệu mô hình học máy,B,,,
155,,Marketing Analyst cần kỹ năng nào?,,,,Phân tích hiệu quả chi phí quảng cáo,Thiết kế hệ thống ETL/ELT,Xây dựng mô hình deep learning,Quản lý hạ tầng đám mây,B,,,
156,,Financial Data Analyst chịu trách nhiệm gì?,,,,Dự báo tài chính và phân tích báo cáo,Xây dựng pipeline dữ liệu,Triển khai mô hình học máy,Trực quan hóa hành vi người dùng,A,,,
157,,Operations Analyst tối ưu hóa điều gì?,,,,Quy trình vận hành và chuỗi cung ứng,Mô hình học máy,Hạ tầng dữ liệu,Chiến dịch marketing,A,,,
158,,Nhà phân tích dữ liệu cần kỹ năng gì để truyền đạt kết quả?,,,,Kể chuyện bằng dữ liệu (data storytelling),Thiết kế pipeline dữ liệu,Xây dựng mô hình deep learning,Quản lý hạ tầng đám mây,B,,,
159,,Nhà phân tích dữ liệu sử dụng kỹ thuật nào để phân tích?,,,,Phân tích thống kê mô tả và hồi quy,Thiết kế hệ thống ETL/ELT,Triển khai mô hình học máy,Quản lý hạ tầng dữ liệu,B,,,
160,,Nhà khoa học dữ liệu có vai trò gì?,,,,Xây dựng và duy trì hạ tầng dữ liệu,Xây dựng mô hình dự đoán và phân tích sâu,Trực quan hóa dữ liệu,Quản lý pipeline dữ liệu,B,,,
161,,Kỹ năng nào cần thiết cho nhà khoa học dữ liệu?,,,,Học máy và thống kê suy luận,Thiết kế hệ thống ETL/ELT,Quản lý hạ tầng đám mây,Thiết kế giao diện người dùng,A,,,
162,,Nhà khoa học dữ liệu sử dụng công cụ nào?,,,,Python và Scikit-learn,Tableau và Power BI,Apache Airflow,Excel và Google Sheets,A,,,
163,,Nhà khoa học dữ liệu tham gia vào bước nào của chu trình dữ liệu?,,,,Toàn bộ chu trình từ thu thập đến triển khai,Chỉ thu thập dữ liệu,Chỉ trực quan hóa dữ liệu,Chỉ thiết kế hạ tầng,B,,,
164,,Nhà khoa học dữ liệu cần kỹ năng gì để truyền đạt kết quả?,,,,Kể chuyện bằng dữ liệu,Thiết kế pipeline dữ liệu,Quản lý hạ tầng đám mây,Thiết kế giao diện dashboard,B,,,
165,,Lộ trình nghề nghiệp của nhà khoa học dữ liệu bắt đầu từ đâu?,,,,Junior Data Scientist,Data Platform Engineer,Business Data Analyst,MLOps Engineer,A,,,
166,,Nhà khoa học dữ liệu sử dụng kỹ thuật nào?,,,,Phân loại và phân cụm,Thiết kế hệ thống ETL/ELT,Quản lý pipeline dữ liệu,Trực quan hóa báo cáo,A,,,
167,,Nhà khoa học dữ liệu khác với nhà phân tích dữ liệu ở điểm nào?,,,,Tập trung vào xây dựng mô hình dự đoán,,,,,,,
